symbol,state,longScore,shortScore,last,mark,changePct,quoteVolume,funding,oi,m15Close,m15MA7,m15MA25,m15VolRatio,m15BuyRatio,h1Close,h1MA7,h1MA25,h1High20,h1Low20,h1VolRatio,h1RangePos,h4Close,h4MA7,h4MA25,dClose,dMA7,dMA25,longReasons,longWarnings,shortReasons,shortWarnings
KOMAUSDT,LONG_TRIGGER_OR_CLOSE,72,0,0.016594,0.01658386,84.71,266364746.17,0.00044342,725054743.0,0.01661,0.01480586,0.01435844,0.38,0.529,0.016588,0.01438343,0.0125714,0.014896,0.00943,2.07,1.31,0.01661,0.01291314,0.00919712,0.016603,0.00992671,0.00815944,日线多头排列；4H趋势偏多；1H站上MA7；15m短线转强；1H放量突破20根高点,资金费率偏极端；24h涨幅过大，追高风险,,资金费率偏极端
UNIUSDT,LONG_WATCH,68,6,4.501,4.503,12.02,151089024.06,0.0001,20173698.0,4.504,4.49928571,4.44308,0.31,0.517,4.503,4.43485714,4.24176,4.575,3.957,1.02,0.883,4.502,4.25685714,3.97008,4.504,4.011,3.69816,日线多头排列；4H趋势偏多；1H站上MA7；15m短线转强；1H接近区间上沿且量能不弱；资金费率不过热,,资金费率不过热,
MMTUSDT,LONG_WATCH,68,6,0.2821,0.2821,49.18,139747113.35,4.79e-05,68586931.0,0.2821,0.27698571,0.26628,0.19,0.516,0.2825,0.26624286,0.227568,0.2839,0.1912,1.01,0.985,0.2822,0.23058571,0.195436,0.2822,0.20617143,0.181544,日线多头排列；4H趋势偏多；1H站上MA7；15m短线转强；1H接近区间上沿且量能不弱；资金费率不过热,24h涨幅过大，追高风险,资金费率不过热,
AKEUSDT,LONG_WATCH,60,6,0.0045445,0.0045413,13.97,179048139.64,5e-05,7927679301.0,0.0045413,0.0044826,0.0044613,0.1,0.508,0.0045458,0.00445757,0.00427352,0.0047337,0.0038002,0.42,0.799,0.0045413,0.00432881,0.00416219,0.0045402,0.00387809,0.00184541,日线多头排列；4H趋势偏多；1H站上MA7；15m短线转强；资金费率不过热,,资金费率不过热,
CAPUSDT,LONG_WATCH,60,6,0.03606,0.03606907,39.44,66735846.72,5e-05,224503412.0,0.03608,0.03554714,0.0351824,0.18,0.514,0.03607,0.03543571,0.0316076,0.03845,0.02436,0.6,0.831,0.03608,0.03209286,0.0267828,0.03605,0.0274,0.0220476,日线多头排列；4H趋势偏多；1H站上MA7；15m短线转强；资金费率不过热,24h涨幅过大，追高风险,资金费率不过热,
EPICUSDT,LONG_WATCH,60,6,0.7902,0.7905737,2.8,63555900.25,5e-05,9572033.8,0.7908,0.78571429,0.751648,0.18,0.502,0.7908,0.75062857,0.771208,0.9595,0.7026,0.39,0.343,0.79,0.76251429,0.720656,0.7904,0.72848571,0.525692,日线多头排列；4H趋势偏多；1H站上MA7；15m短线转强；资金费率不过热,,资金费率不过热,
BNBUSDT,NEUTRAL,56,24,588.64,588.65183298,2.2,327637368.94,7.251e-05,601229.09,588.67,590.03571429,591.9436,0.25,0.471,588.67,591.39857143,586.2088,596.6,573.05,0.65,0.663,588.66,586.56,575.092,588.67,576.64857143,573.6592,日线多头排列；4H趋势偏多；接近1H MA25缩量回踩；资金费率不过热,1H未站上短均线,1H在MA7下方；15m短线偏弱；资金费率不过热,
ADAUSDT,NEUTRAL,52,6,0.1704,0.1704,4.35,155551762.8,0.0001,502684469.0,0.1704,0.17014286,0.170088,0.24,0.505,0.1704,0.17,0.167476,0.1762,0.1623,0.5,0.583,0.1704,0.16775714,0.16276,0.1704,0.16427143,0.165964,日线在MA7上方；4H趋势偏多；1H站上MA7；15m短线转强；资金费率不过热,,资金费率不过热,
BCHUSDT,NEUTRAL,48,34,215.68,215.6859004,2.59,54825010.35,0.0001,290135.721,215.68,216.34285714,216.6584,0.2,0.484,215.68,216.45571429,214.5836,221.95,209.34,0.51,0.503,215.68,214.48857143,213.6428,215.68,213.75285714,223.8244,日线在MA7上方；4H趋势偏多；接近1H MA25缩量回踩；资金费率不过热,1H未站上短均线,日线弱于MA25；1H在MA7下方；15m短线偏弱；资金费率不过热,
PAXGUSDT,NEUTRAL,48,24,4072.21,4072.3,0.02,96434460.88,1.346e-05,15411.96,4072.31,4078.19428571,4091.6036,0.4,0.493,4072.28,4091.64142857,4077.4032,4112.0,4029.33,0.43,0.52,4072.28,4077.51571429,4056.2896,4072.28,4067.75142857,4057.0256,日线多头排列；4H仍在MA25上方；接近1H MA25缩量回踩；资金费率不过热,1H未站上短均线,1H在MA7下方；15m短线偏弱；资金费率不过热,
